text,label
I rarely finish my homework,truth
I forgot to study before exams,truth
I occasionally study before exams,truth
I sometimes exercise,truth
I forgot to study before exams,truth
I sometimes eat healthy food,truth
I rarely finish my homework,truth
I forgot to wake up early,truth
I forgot to finish my homework,truth
I rarely study before exams,truth
I sometimes avoid my phone,truth
I occasionally exercise,truth
I sometimes wake up early,truth
I forgot to eat healthy food,truth
I didn't manage to exercise,truth
I forgot to avoid my phone,truth
I didn't manage to exercise,truth
I sometimes eat healthy food,truth
I didn't manage to avoid my phone,truth
I sometimes study before exams,truth
I sometimes exercise,truth
I forgot to finish my homework,truth
I occasionally eat healthy food,truth
I rarely wake up early,truth
I rarely finish my homework,truth
I forgot to finish my homework,truth
I sometimes study before exams,truth
I didn't manage to wake up early,truth
I didn't manage to study before exams,truth
I forgot to finish my homework,truth
I forgot to wake up early,truth
I didn't manage to eat healthy food,truth
I sometimes eat healthy food,truth
I forgot to wake up early,truth
I occasionally eat healthy food,truth
I occasionally study before exams,truth
I sometimes finish my homework,truth
I didn't manage to study before exams,truth
I didn't manage to exercise,truth
I rarely study before exams,truth
I rarely study before exams,truth
I sometimes wake up early,truth
I forgot to wake up early,truth
I sometimes finish my homework,truth
I sometimes avoid my phone,truth
I forgot to study before exams,truth
I rarely avoid my phone,truth
I didn't manage to avoid my phone,truth
I didn't manage to avoid my phone,truth
I forgot to wake up early,truth
I sometimes wake up early,truth
I occasionally eat healthy food,truth
I sometimes finish my homework,truth
I didn't manage to study before exams,truth
I forgot to exercise,truth
I rarely wake up early,truth
I sometimes study before exams,truth
I sometimes study before exams,truth
I forgot to study before exams,truth
I occasionally avoid my phone,truth
I sometimes exercise,truth
I rarely avoid my phone,truth
I sometimes finish my homework,truth
I forgot to avoid my phone,truth
I sometimes avoid my phone,truth
I rarely study before exams,truth
I didn't manage to wake up early,truth
I rarely study before exams,truth
I forgot to eat healthy food,truth
I occasionally exercise,truth
I didn't manage to finish my homework,truth
I forgot to eat healthy food,truth
I forgot to exercise,truth
I rarely wake up early,truth
I occasionally exercise,truth
I forgot to finish my homework,truth
I sometimes wake up early,truth
I sometimes study before exams,truth
I forgot to exercise,truth
I rarely wake up early,truth
I rarely eat healthy food,truth
I occasionally study before exams,truth
I forgot to finish my homework,truth
I forgot to study before exams,truth
I rarely avoid my phone,truth
I sometimes wake up early,truth
I occasionally eat healthy food,truth
I didn't manage to finish my homework,truth
I occasionally exercise,truth
I rarely study before exams,truth
I forgot to eat healthy food,truth
I rarely eat healthy food,truth
I sometimes avoid my phone,truth
I occasionally wake up early,truth
I sometimes wake up early,truth
I sometimes finish my homework,truth
I didn't manage to avoid my phone,truth
I sometimes study before exams,truth
I didn't manage to wake up early,truth
I occasionally wake up early,truth
I occasionally study before exams,truth
I occasionally exercise,truth
I forgot to avoid my phone,truth
I forgot to eat healthy food,truth
I didn't manage to wake up early,truth
I occasionally finish my homework,truth
I forgot to eat healthy food,truth
I occasionally exercise,truth
I occasionally finish my homework,truth
I occasionally finish my homework,truth
I forgot to wake up early,truth
I forgot to avoid my phone,truth
I sometimes eat healthy food,truth
I occasionally wake up early,truth
I sometimes finish my homework,truth
I rarely wake up early,truth
I occasionally eat healthy food,truth
I rarely finish my homework,truth
I forgot to eat healthy food,truth
I occasionally avoid my phone,truth
I rarely wake up early,truth
I forgot to study before exams,truth
I didn't manage to eat healthy food,truth
I didn't manage to eat healthy food,truth
I didn't manage to finish my homework,truth
I rarely exercise,truth
I sometimes finish my homework,truth
I forgot to wake up early,truth
I didn't manage to eat healthy food,truth
I didn't manage to wake up early,truth
I occasionally finish my homework,truth
I didn't manage to study before exams,truth
I didn't manage to wake up early,truth
I forgot to exercise,truth
I occasionally avoid my phone,truth
I rarely finish my homework,truth
I occasionally avoid my phone,truth
I sometimes finish my homework,truth
I forgot to study before exams,truth
I didn't manage to study before exams,truth
I forgot to study before exams,truth
I occasionally avoid my phone,truth
I rarely study before exams,truth
I rarely avoid my phone,truth
I rarely eat healthy food,truth
I forgot to wake up early,truth
I occasionally exercise,truth
I didn't manage to avoid my phone,truth
I forgot to wake up early,truth
